GW,TYPE HOME,TYPE AWAY,HOME,AWAY,HOME_AMPLIFIER,AWAY_AMP,RESULT,MATCH
1,2,19,LIV,NOR,5,-5,4-1,LIVNOR
1,12,1,WHU,MCI,-2,2,0-5,WHUMCI
1,16,14,BUR,SOU,0,0,3-0,BURSOU
1,10,7,CRY,EVE,0,0,0-0,CRYEVE
1,15,18,WAT,BHA,1,-1,0-3,WATBHA
1,11,20,BOU,SHU,3,-3,1-1,BOUSHU
1,4,17,TOT,AVL,4,-4,3-1,TOTAVL
1,13,5,NEW,ARS,-2,2,0-1,NEWARS
1,8,9,LEI,WOL,1,-1,0-0,LEIWOL
1,6,3,MUN,CHE,0,0,4-0,MUNCHE
2,6,12,ARS,BUR,2,-2,2-1,ARSBUR
2,18,11,AVL,BOU,-1,1,1-2,AVLBOU
2,7,17,EVE,WAT,3,-3,1-0,EVEWAT
2,15,2,SOU,LIV,-3,3,1-2,SOULIV
2,16,13,BHA,WHU,0,0,1-1,BHAWHU
2,19,14,NOR,NEW,-1,1,3-1,NORNEW
2,1,3,MCI,TOT,1,-1,2-2,MCITOT
2,20,10,SHU,CRY,-2,2,1-0,SHUCRY
2,4,8,CHE,LEI,1,-1,1-1,CHELEI
2,9,5,WOL,MUN,-1,1,1-1,WOLMUN
3,20,7,AVL,EVE,-3,3,2-0,AVLEVE
3,18,4,NOR,CHE,-3,3,2-3,NORCHE
3,5,12,MUN,CRY,2,-2,1-2,MUNCRY
3,17,13,WAT,WHU,-1,1,1-3,WATWHU
3,16,14,BHA,SOU,0,0,0-2,BHASOU
3,19,8,SHU,LEI,-2,2,1-2,SHULEI
3,2,6,LIV,ARS,1,-1,3-1,LIVARS
3,10,1,BOU,MCI,-2,2,1-3,BOUMCI
3,3,15,TOT,NEW,3,-3,0-1,TOTNEW
3,9,11,WOL,BUR,1,-1,1-1,WOLBUR
4,14,5,SOU,MUN,-2,2,1-1,SOUMUN
4,3,20,CHE,SHU,5,-5,2-2,CHESHU
4,15,19,NEW,WAT,1,-1,1-1,NEWWAT
4,1,18,MCI,BHA,5,-5,4-0,MCIBHA
4,12,17,WHU,NOR,2,-2,2-0,WHUNOR
4,10,16,CRY,AVL,2,-2,1-0,CRYAVL
4,8,11,LEI,BOU,1,-1,3-1,LEIBOU
4,13,2,BUR,LIV,-2,2,0-3,BURLIV
4,7,9,EVE,WOL,1,-1,3-2,EVEWOL
4,6,4,ARS,TOT,0,0,2-2,ARSTOT
5,2,15,LIV,NEW,4,-4,3-1,LIVNEW
5,6,7,MUN,LEI,1,-1,1-0,MUNLEI
5,3,9,TOT,CRY,2,-2,4-0,TOTCRY
5,11,4,WOL,CHE,-1,1,2-5,WOLCHE
5,17,14,BHA,BUR,0,0,1-1,BHABUR
5,16,12,SHU,SOU,-1,1,0-1,SHUSOU
5,20,1,NOR,MCI,-4,4,3-2,NORMCI
5,13,8,BOU,EVE,-1,1,3-1,BOUEVE
5,18,5,WAT,ARS,-3,3,2-2,WATARS
5,19,10,AVL,WHU,-2,2,0-0,AVLWHU
6,12,11,SOU,BOU,0,0,1-3,SOUBOU
6,7,3,LEI,TOT,-1,1,2-1,LEITOT
6,8,19,EVE,SHU,3,-3,0-2,EVESHU
6,1,17,MCI,WAT,4,-4,8-0,MCIWAT
6,14,16,BUR,NOR,1,-1,2-0,BURNOR
6,15,18,NEW,BHA,1,-1,0-0,NEWBHA
6,9,5,WHU,MUN,-1,1,2-0,WHUMUN
6,10,13,CRY,WOL,1,-1,1-1,CRYWOL
6,4,2,CHE,LIV,0,0,1-2,CHELIV
6,6,20,ARS,AVL,4,-4,3-2,ARSAVL
7,16,2,SHU,LIV,-3,3,0-1,SHULIV
7,20,12,AVL,BUR,-2,2,2-1,AVLBUR
7,3,17,CHE,BHA,4,-4,2-0,CHEBHA
7,4,13,TOT,SOU,3,-3,2-1,TOTSOU
7,11,18,CRY,NOR,2,-2,2-0,CRYNOR
7,14,19,WOL,WAT,2,-2,2-0,WOLWAT
7,10,8,BOU,WHU,0,0,2-2,BOUWHU
7,9,1,EVE,MCI,-2,2,1-3,EVEMCI
7,7,15,LEI,NEW,2,-2,5-0,LEINEW
7,5,6,MUN,ARS,1,-1,1-1,MUNARS
8,17,4,BHA,TOT,-3,3,3-0,BHATOT
8,2,6,LIV,LEI,1,-1,2-1,LIVLEI
8,12,8,BUR,EVE,-1,1,1-0,BUREVE
8,19,15,WAT,SHU,-1,1,0-0,WATSHU
8,16,20,NOR,AVL,1,-1,1-5,NORAVL
8,9,11,WHU,CRY,1,-1,1-2,WHUCRY
8,1,14,MCI,WOL,4,-4,0-2,MCIWOL
8,5,10,ARS,BOU,2,-2,1-0,ARSBOU
8,13,3,SOU,CHE,-2,2,1-4,SOUCHE
8,18,7,NEW,MUN,-2,2,1-0,NEWMUN
9,10,13,EVE,WHU,1,-1,2-0,EVEWHU
9,11,20,BOU,NOR,3,-3,0-0,BOUNOR
9,18,15,AVL,BHA,0,0,2-1,AVLBHA
9,3,17,CHE,NEW,4,-4,1-0,CHENEW
9,6,12,LEI,BUR,2,-2,2-1,LEIBUR
9,5,19,TOT,WAT,4,-4,1-1,TOTWAT
9,9,14,WOL,SOU,2,-2,1-1,WOLSOU
9,8,2,CRY,MCI,-1,1,0-2,CRYMCI
9,7,1,MUN,LIV,-1,1,1-1,MUNLIV
9,16,4,SHU,ARS,-3,3,1-0,SHUARS
10,14,6,SOU,LEI,-2,2,0-9,SOULEI
10,2,17,MCI,AVL,4,-4,3-0,MCIAVL
10,16,8,BHA,EVE,-2,2,3-2,BHAEVE
10,19,12,WAT,BOU,-1,1,0-0,WATBOU
10,13,15,WHU,SHU,1,-1,1-1,WHUSHU
10,11,3,BUR,CHE,-2,2,2-4,BURCHE
10,18,10,NEW,WOL,-2,2,1-1,NEWWOL
10,4,9,ARS,CRY,2,-2,2-2,ARSCRY
10,1,5,LIV,TOT,1,-1,2-1,LIVTOT
10,20,7,NOR,MUN,-3,3,1-3,NORMUN
11,12,7,BOU,MUN,-1,1,1-0,BOUMUN
11,5,10,ARS,WOL,2,-2,1-1,ARSWOL
11,16,1,AVL,LIV,-3,3,1-2,AVLLIV
11,14,20,BHA,NOR,2,-2,2-0,BHANOR
11,2,17,MCI,SOU,4,-4,2-1,MCISOU
11,15,11,SHU,BUR,-1,1,3-0,SHUBUR
11,13,18,WHU,NEW,2,-2,2-3,WHUNEW
11,19,3,WAT,CHE,-4,4,1-2,WATCHE
11,8,4,CRY,LEI,-1,1,0-2,CRYLEI
11,9,6,EVE,TOT,0,0,1-1,EVETOT
12,20,19,NOR,WAT,0,0,0-2,NORWAT
12,3,11,CHE,CRY,2,-2,2-0,CHECRY
12,14,15,BUR,WHU,1,-1,3-0,BURWHU
12,16,9,NEW,BOU,-1,1,2-1,NEWBOU
12,18,8,SOU,EVE,-2,2,1-2,SOUEVE
12,5,13,TOT,SHU,2,-2,1-1,TOTSHU
12,4,6,LEI,ARS,1,-1,2-0,LEIARS
12,7,12,MUN,BHA,2,-2,3-1,MUNBHA
12,10,17,WOL,AVL,2,-2,2-1,WOLAVL
12,1,2,LIV,MCI,1,-1,3-1,LIVMCI
13,16,5,WHU,TOT,-2,2,2-3,WHUTOT
13,10,9,BOU,WOL,0,0,1-2,BOUWOL
13,7,19,ARS,SOU,3,-3,2-2,ARSSOU
13,14,4,BHA,LEI,-2,2,0-2,BHALEI
13,13,1,CRY,LIV,-3,3,1-2,CRYLIV
13,8,20,EVE,NOR,3,-3,0-2,EVENOR
13,18,12,WAT,BUR,-1,1,0-3,WATBUR
13,2,3,MCI,CHE,1,-1,2-1,MCICHE
13,11,6,SHU,MUN,-1,1,3-3,SHUMUN
13,17,15,AVL,NEW,0,0,2-0,AVLNEW
14,16,2,NEW,MCI,-3,3,2-2,NEWMCI
14,9,12,BUR,CRY,1,-1,0-2,BURCRY
14,3,17,CHE,WHU,4,-4,0-1,CHEWHU
14,1,14,LIV,BHA,4,-4,2-1,LIVBHA
14,5,13,TOT,BOU,2,-2,3-2,TOTBOU
14,18,19,SOU,WAT,1,-1,2-1,SOUWAT
14,20,7,NOR,ARS,-3,3,2-2,NORARS
14,8,11,WOL,SHU,1,-1,1-1,WOLSHU
14,4,10,LEI,EVE,2,-2,2-1,LEIEVE
14,6,15,MUN,AVL,3,-3,2-2,MUNAVL
15,9,13,CRY,BOU,1,-1,1-0,CRYBOU
15,12,2,BUR,MCI,-2,2,1-4,BURMCI
15,3,19,LEI,WAT,4,-4,2-0,LEIWAT
15,6,5,MUN,TOT,0,0,2-1,MUNTOT
15,8,15,WOL,WHU,2,-2,2-0,WOLWHU
15,4,16,CHE,AVL,3,-3,2-1,CHEAVL
15,18,20,SOU,NOR,1,-1,2-1,SOUNOR
15,1,11,LIV,EVE,3,-3,5-2,LIVEVE
15,10,17,SHU,NEW,2,-2,0-2,SHUNEW
15,7,14,ARS,BHA,2,-2,1-2,ARSBHA
16,10,4,EVE,CHE,-1,1,3-1,EVECHE
16,15,1,BOU,LIV,-3,3,0-3,BOULIV
16,5,12,TOT,BUR,2,-2,5-0,TOTBUR
16,19,9,WAT,CRY,-2,2,0-0,WATCRY
16,2,6,MCI,MUN,1,-1,1-2,MCIMUN
16,16,3,AVL,LEI,-3,3,1-4,AVLLEI
16,14,17,NEW,SOU,1,-1,2-1,NEWSOU
16,20,13,NOR,SHU,-1,1,1-2,NORSHU
16,11,7,BHA,WOL,-1,1,2-2,BHAWOL
16,18,8,WHU,ARS,-2,2,1-3,WHUARS
17,1,19,LIV,WAT,5,-5,2-0,LIVWAT
17,14,13,BUR,NEW,0,0,1-0,BURNEW
17,4,15,CHE,BOU,3,-3,0-1,CHEBOU
17,3,20,LEI,NOR,5,-5,1-1,LEINOR
17,11,16,SHU,AVL,2,-2,2-0,SHUAVL
17,17,18,SOU,WHU,1,-1,0-1,SOUWHU
17,6,9,MUN,EVE,1,-1,1-1,MUNEVE
17,7,5,WOL,TOT,0,0,1-2,WOLTOT
17,8,2,ARS,MCI,-1,1,0-3,ARSMCI
17,10,12,CRY,BHA,1,-1,1-1,CRYBHA
18,16,1,WHU,LIV,-3,3,0-2,WHULIV
18,9,8,EVE,ARS,0,0,0-0,EVEARS
18,14,13,BOU,BUR,0,0,0-1,BOUBUR
18,17,18,AVL,SOU,1,-1,1-3,AVLSOU
18,12,10,BHA,SHU,0,0,0-1,BHASHU
18,15,11,NEW,CRY,-1,1,1-0,NEWCRY
18,20,7,NOR,WOL,-3,3,1-2,NORWOL
18,2,3,MCI,LEI,1,-1,3-1,MCILEI
18,19,6,WAT,MUN,-3,3,2-0,WATMUN
18,5,4,TOT,CHE,0,0,0-2,TOTCHE
19,5,14,TOT,BHA,3,-3,2-1,TOTBHA
19,15,9,BOU,ARS,-1,1,1-1,BOUARS
19,18,20,AVL,NOR,1,-1,1-0,AVLNOR
19,4,17,CHE,SOU,4,-4,0-2,CHESOU
19,12,16,CRY,WHU,1,-1,2-1,CRYWHU
19,10,11,EVE,BUR,1,-1,1-0,EVEBUR
19,8,19,SHU,WAT,3,-3,1-1,SHUWAT
19,6,13,MUN,NEW,2,-2,4-1,MUNNEW
19,3,1,LEI,LIV,0,0,0-4,LEILIV
19,7,2,WOL,MCI,-1,1,3-2,WOLMCI
20,15,16,BHA,BOU,1,-1,2-0,BHABOU
20,13,10,NEW,EVE,0,0,1-2,NEWEVE
20,14,11,SOU,CRY,0,0,1-1,SOUCRY
20,19,18,WAT,AVL,0,0,3-0,WATAVL
20,20,5,NOR,TOT,-3,3,2-2,NORTOT
20,17,3,WHU,LEI,-3,3,1-2,WHULEI
20,12,6,BUR,MUN,-1,1,0-2,BURMUN
20,9,4,ARS,CHE,-1,1,1-2,ARSCHE
20,1,7,LIV,WOL,2,-2,1-0,LIVWOL
20,2,8,MCI,SHU,2,-2,2-0,MCISHU
21,13,4,BHA,CHE,-2,2,1-1,BHACHE
21,12,19,BUR,AVL,2,-2,1-2,BURAVL
21,15,3,NEW,LEI,-3,3,0-3,NEWLEI
21,14,5,SOU,TOT,-2,2,1-0,SOUTOT
21,18,7,WAT,WOL,-2,2,2-1,WATWOL
21,2,9,MCI,EVE,2,-2,2-1,MCIEVE
21,20,11,NOR,CRY,-2,2,1-1,NORCRY
21,17,16,WHU,BOU,0,0,4-0,WHUBOU
21,10,6,ARS,MUN,-1,1,2-0,ARSMUN
21,1,8,LIV,SHU,2,-2,2-0,LIVSHU
22,10,16,SHU,WHU,2,-2,1-0,SHUWHU
22,11,8,CRY,ARS,0,0,1-1,CRYARS
22,4,14,CHE,BUR,3,-3,3-0,CHEBUR
22,9,13,EVE,BHA,1,-1,1-0,EVEBHA
22,3,12,LEI,SOU,3,-3,1-2,LEISOU
22,6,20,MUN,NOR,4,-4,4-0,MUNNOR
22,7,15,WOL,NEW,2,-2,1-1,WOLNEW
22,5,1,TOT,LIV,-1,1,0-1,TOTLIV
22,18,17,BOU,WAT,0,0,0-3,BOUWAT
22,19,2,AVL,MCI,-4,4,1-6,AVLMCI
23,14,6,WAT,TOT,-2,2,0-0,WATTOT
23,10,8,ARS,SHU,0,0,1-1,ARSSHU
23,13,18,BHA,AVL,2,-2,1-1,BHAAVL
23,2,12,MCI,CRY,3,-3,2-2,MCICRY
23,20,19,NOR,BOU,0,0,1-0,NORBOU
23,11,7,SOU,WOL,-1,1,2-3,SOUWOL
23,17,9,WHU,EVE,-2,2,1-1,WHUEVE
23,16,4,NEW,CHE,-3,3,1-0,NEWCHE
23,15,3,BUR,LEI,-3,3,2-1,BURLEI
23,1,5,LIV,MUN,1,-1,2-0,LIVMUN
24,19,15,BOU,BHA,-1,1,3-1,BOUBHA
24,18,16,AVL,WAT,0,0,2-1,AVLWAT
24,9,13,EVE,NEW,1,-1,2-2,EVENEW
24,8,2,SHU,MCI,-1,1,0-1,SHUMCI
24,11,12,CRY,SOU,1,-1,0-2,CRYSOU
24,4,10,CHE,ARS,2,-2,2-2,CHEARS
24,3,17,LEI,WHU,4,-4,4-1,LEIWHU
24,7,20,TOT,NOR,4,-4,2-1,TOTNOR
24,5,14,MUN,BUR,3,-3,0-2,MUNBUR
24,6,1,WOL,LIV,-1,1,1-2,WOLLIV
25,3,4,LEI,CHE,1,-1,2-2,LEICHE
25,19,18,BOU,AVL,0,0,2-1,BOUAVL
25,13,8,CRY,SHU,-1,1,0-1,CRYSHU
25,1,10,LIV,SOU,3,-3,4-0,LIVSOU
25,14,20,NEW,NOR,2,-2,0-0,NEWNOR
25,16,9,WAT,EVE,-1,1,2-3,WATEVE
25,17,15,WHU,BHA,0,0,3-3,WHUBHA
25,6,7,MUN,WOL,1,-1,0-0,MUNWOL
25,12,11,BUR,ARS,0,0,0-0,BURARS
25,5,1,TOT,MCI,-1,1,2-0,TOTMCI
26,9,13,EVE,CRY,1,-1,3-1,EVECRY
26,15,16,BHA,WAT,1,-1,1-1,BHAWAT
26,8,17,SHU,BOU,3,-3,2-1,SHUBOU
26,2,19,MCI,WHU,5,-5,2-0,MCIWHU
26,6,3,WOL,LEI,0,0,0-0,WOLLEI
26,10,12,SOU,BUR,1,-1,1-2,SOUBUR
26,20,1,NOR,LIV,-4,4,0-1,NORLIV
26,18,5,AVL,TOT,-3,3,2-3,AVLTOT
26,11,14,ARS,NEW,1,-1,4-0,ARSNEW
26,4,7,CHE,MUN,1,-1,0-2,CHEMUN
27,4,5,CHE,TOT,1,-1,2-1,CHETOT
27,11,18,BUR,BOU,2,-2,3-0,BURBOU
27,13,14,CRY,NEW,1,-1,1-0,CRYNEW
27,8,15,SHU,BHA,2,-2,1-1,SHUBHA
27,12,19,SOU,AVL,2,-2,2-0,SOUAVL
27,3,2,LEI,MCI,0,0,0-1,LEIMCI
27,6,16,MUN,WAT,3,-3,3-0,MUNWAT
27,7,20,WOL,NOR,4,-4,3-0,WOLNOR
27,10,9,ARS,EVE,0,0,3-2,ARSEVE
27,1,17,LIV,WHU,4,-4,3-2,LIVWHU
28,20,3,NOR,LEI,-4,4,1-0,NORLEI
28,19,8,AVL,SHU,-2,2,,AVLSHU
28,15,13,BHA,CRY,0,0,0-1,BHACRY
28,18,4,BOU,CHE,-3,3,2-2,BOUCHE
28,14,11,NEW,BUR,0,0,0-0,NEWBUR
28,16,12,WHU,SOU,-1,1,3-1,WHUSOU
28,17,1,WAT,LIV,-4,4,3-0,WATLIV
28,2,9,MCI,ARS,2,-2,,MCIARS
28,10,5,EVE,MUN,-1,1,1-1,EVEMUN
28,6,7,TOT,WOL,1,-1,2-3,TOTWOL
29,1,18,LIV,BOU,5,-5,2-1,LIVBOU
29,9,16,ARS,WHU,2,-2,1-0,ARSWHU
29,12,15,CRY,WAT,1,-1,1-0,CRYWAT
29,8,20,SHU,NOR,3,-3,1-0,SHUNOR
29,13,14,SOU,NEW,1,-1,0-1,SOUNEW
29,6,17,WOL,BHA,3,-3,0-0,WOLBHA
29,11,7,BUR,TOT,-1,1,1-1,BURTOT
29,4,10,CHE,EVE,2,-2,4-0,CHEEVE
29,5,2,MUN,MCI,0,0,2-0,MUNMCI
29,3,19,LEI,AVL,4,-4,4-0,LEIAVL
30,16,3,WAT,LEI,-3,3,,WATLEI
30,18,12,BOU,CRY,-1,1,,BOUCRY
30,15,9,BHA,ARS,-1,1,,BHAARS
30,2,11,MCI,BUR,3,-3,,MCIBUR
30,14,7,NEW,SHU,-1,1,,NEWSHU
30,20,13,NOR,SOU,-1,1,,NORSOU
30,19,4,AVL,CHE,-3,3,,AVLCHE
30,17,6,WHU,WOL,-2,2,,WHUWOL
30,8,5,TOT,MUN,0,0,,TOTMUN
30,10,1,EVE,LIV,-2,2,,EVELIV