Matchday,Date,H/A,Club,Club Pos.,Opponent,Opponent.1,Result,Pos.,Goals,Assists,Yellows,2nd Yellows,Reds,Minutes,Unnamed: 15,Unnamed: 16,Unnamed: 17,Player
1,,,,,,,,,,,,,,14',,,,Patrick Cutrone
2,,,,,,,,,,,,,,1',,,,Patrick Cutrone
3,,,,,,,,,,,,,,,,,,Patrick Cutrone
4,,,,,,,,,,,,,,68',,,,Patrick Cutrone
5,,,,,,,,,,,,,,45',,,,Patrick Cutrone
6,,,,,,,,,,,,,,14',,,,Patrick Cutrone
7,,,,,,,,,,,,,,10',,,,Patrick Cutrone
8,,,,,,,,,,,,,,68',,,,Patrick Cutrone
9,,,,,,,,,,,,,,62',,,,Patrick Cutrone
10,,,,,,,,,,,,,,,,,,Patrick Cutrone
11,,,,,,,,,,,,,,,,,,Patrick Cutrone
12,,,,,,,,,,,,,,1',,,,Patrick Cutrone
13,,,,,,,,,,,,,,,,,,Patrick Cutrone
14,,,,,,,,,,,,,,,,,,Patrick Cutrone
15,,,,,,,,,,,,,,6',,,,Patrick Cutrone
16,,,,,,,,,,,,,,5',,,,Patrick Cutrone
17,,,,,,,,,,,,,,,,,,Patrick Cutrone
18,,,,,,,,,,,,,,1',,,,Patrick Cutrone
19,,,,,,,,,,,,,,,,,,Patrick Cutrone
20,,,,,,,,,,,,,,,,,,Patrick Cutrone
21,,,,,,,,,,,,,,,,,,Patrick Cutrone